algorithm,load_scale,utility_mean_mean,utility_mean_ci95,qos_success_mean,qos_success_ci95,delay_mean_mean,delay_mean_ci95,urlcc_violation_prob_saa_mean,urlcc_violation_prob_saa_ci95,fairness_jain_mean,fairness_jain_ci95,algo_runtime_ms_mean,algo_runtime_ms_ci95
C_ADMM,0.8,-1383113.3713465775,17365.34064536338,0.0,0.0,18037.69142059351,226.13247770680655,1.0,0.0,0.48797397968646755,7.4879910495006e-06,1.92335358333537,0.05889040904291752
C_ADMM,1.0,-1368162.2631550897,9726.291536929852,0.0,0.0,17843.43393015459,125.9693487955102,1.0,0.0,0.4880094346968899,2.1454905559801904e-05,1.9561218333342367,0.08527736141310524
C_ADMM,1.2,-1380590.7522088895,18777.222803681216,0.0,0.0,18005.591427373947,245.42952486692,1.0,0.0,0.48803197551352584,3.346638611879342e-05,1.8717943333346436,0.04920600665287599
C_ADMM,1.4,-1384979.0142866375,18448.445786603643,0.0,0.0,18065.744851237007,241.22665752509482,1.0,0.0,0.48811465575820145,3.719043666421435e-05,1.6523603333352337,0.6221666287802077
C_ADMM,1.6,-1371256.3318458158,9667.485116689219,0.0,0.0,17885.45365372781,125.41577547190705,1.0,0.0,0.48812255869289245,3.559331735773424e-05,1.6167218333305298,0.601555425347633
Independent_MAPPO_PPO,0.8,-98585646946.81255,41899087337.78992,0.0,0.0,1471591692.8385475,173032232.50916368,1.0,0.0,0.4335838874052826,0.011402410501940062,3.1723609166687083,0.17690241026803544
Independent_MAPPO_PPO,1.0,-76900273953.54721,42360637876.16888,0.0,0.0,1223491583.2840958,346621624.82215464,1.0,0.0,0.4661247339113072,0.029684712489637617,3.072129499995716,0.052299406043140005
Independent_MAPPO_PPO,1.2,-79495854314.98216,18662373573.922153,0.0,0.0,1373424910.600359,301827225.1180375,1.0,0.0,0.4360822501452918,0.016630820777722665,3.012161166674521,0.05099405496360868
Independent_MAPPO_PPO,1.4,-133858666601.32182,69917890677.24762,0.0,0.0,1233079726.852518,468367690.5178723,1.0,0.0,0.43497873238065204,0.04853447907095807,2.7066569166652243,0.841186000620321
Independent_MAPPO_PPO,1.6,-106018916682.95761,40409734795.50363,0.0,0.0,1425307615.098203,282472338.5499719,1.0,0.0,0.4421626582988166,0.027343875884115625,2.640466666669947,0.7705881940782913
MAAN_PPO,0.8,-94529160048.44844,57928182216.14575,0.0,0.0,1403251812.351545,190715193.465777,1.0,0.0,0.4462194304626202,0.031327219602880575,3.367207999995306,0.20955769301664975
MAAN_PPO,1.0,-61347051743.945816,18906445816.51179,0.0,0.0,1131345413.9949403,215841607.9971293,1.0,0.0,0.45628189152367626,0.016374681821535012,3.1325717500044448,0.03789911921191637
MAAN_PPO,1.2,-105713544094.92978,66663302177.989815,0.0,0.0,1397019823.362545,387672355.35000265,1.0,0.0,0.43727344866230866,0.025161955938711747,3.1963601666692893,0.0768699886784534
MAAN_PPO,1.4,-84531908926.8426,13807048400.785374,0.0,0.0,1387085758.455947,224387424.09081593,1.0,0.0,0.4379754928563303,0.010868570975207615,2.815610666668818,0.7753991393474856
MAAN_PPO,1.6,-76174226039.94684,24537101607.691765,0.0,0.0,1348522448.5060756,538972014.6670176,1.0,0.0,0.4476943752126179,0.023066479737964243,2.7242467499983527,0.8266642550156824
OMD_BF,0.8,-65480722.37869486,35357314.717715584,0.0,0.0,2009663.0297378935,1761565.5476640188,1.0,0.0,0.4825633986431226,0.03643766346901305,0.43110191666187353,0.05509079928920146
OMD_BF,1.0,-146092522.37078008,127345496.35024203,0.0,0.0,1965399.1850112008,472613.37766447297,1.0,0.0,0.4416547920087864,0.0463587115598812,0.45421125000056384,0.08910509892546699
OMD_BF,1.2,-170955344.3909555,143849520.89837658,0.0,0.0,2075213.7078324999,1216097.5665174932,1.0,0.0,0.4671309174553403,0.027169278747349437,0.34303183333842446,0.13390359052150783
OMD_BF,1.4,-152536513.25580338,79353667.73285678,0.0,0.0,3157787.1467213826,1007084.862618965,1.0,0.0,0.46313498637868833,0.025001666781487013,0.34119391666630844,0.13761031306354185
OMD_BF,1.6,-286419961.3895344,291774725.26152766,0.0,0.0,3055637.3166688345,2070184.984855017,1.0,0.0,0.46496574097309384,0.027454909450320034,0.34963841666524337,0.14050477062719938
Static_Greedy,0.8,-3283305.2751870668,50218.5622515194,0.0,0.0,125004.6054212788,2166.1740757347497,1.0,0.0,0.6518748813118207,0.005019523567521493,1.6518051666594147,0.049103208859863544
Static_Greedy,1.0,-3256239.825733085,31878.92157398729,0.0,0.0,123782.35420807205,779.4068362466246,1.0,0.0,0.6496099122877733,0.009515979733094928,1.7241772499914985,0.12612155487200188
Static_Greedy,1.2,-3279369.269714192,48189.51053646677,0.0,0.0,124906.8517994377,2196.471964080344,1.0,0.0,0.648256186596877,0.004312250427348896,1.4736464166693015,0.39844499931121014
Static_Greedy,1.4,-3244871.5048022033,38617.978315048655,0.0,0.0,123295.29836979341,1675.7658452181377,1.0,0.0,0.6580118833291447,0.004133871297898383,1.351639166670869,0.5400917430595065
Static_Greedy,1.6,-3218362.587311158,40046.97640817486,0.0,0.0,122678.79398327896,1458.946263304495,1.0,0.0,0.6572109497434732,0.005271300383339629,1.3652711666672226,0.5589097659727015
